【共通】決済品目,【共通】取引ID,【共通】取引日時,【共通】決済会社コード,【共通】決済会社名,【共通】ステータス,【共通】金額,【共通】取引結果,【共通】結果コード,【共通】備考,【共通】会員ID,【共通】取引メモ1,【共通】取引メモ2,【共通】取引メモ3,【共通】FreeKey,【銀行】収納機関番号,【銀行】お客様番号,【銀行】確認番号,【銀行】氏名(姓),【銀行】支払金融機関コード,【銀行】支払金融機関名,【銀行】支払金融機関店舗コード,【銀行】支払期限,【銀行】請求内容(漢字),【銀行】請求内容(カナ),【銀行】入金日,【銀行】印紙税,【銀行】備考,【銀行】請求番号
bank,PRE_AB10000011CF-丙オカXD26-10011-00-XD_1,2026/4/12 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0003,サンプル銀行,000,20260611,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0011
bank,PRE_AB10000012GA-甲アイXE26-10012-00-XE_1,2026/4/13 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0004,サンプル銀行,000,20260612,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0012
bank,PRE_AB10000013MA-乙ウエXF26-10013-00-XF_1,2026/4/14 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0005,サンプル銀行,000,20260613,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0013
bank,PRE_PRE_AB10000014KA-丙オカXG26-10014-00-XG_1,2026/4/15 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0006,サンプル銀行,000,20260614,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0014
bank,PRE_AB10000015CD-甲アイXH26-10015-00-XH_1,2026/4/16 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0007,サンプル銀行,000,20260615,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0015
bank,PRE_AB10000016FA-乙ウエXA26-10016-00-XA_1,2026/4/17 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0008,サンプル銀行,000,20260616,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0016
bank,PRE_AB10000017CA-丙オカXB26-10017-00-XB_1,2026/4/18 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0009,サンプル銀行,000,20260617,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0017
bank,PRE_AB10000018EA-甲アイXC26-10018-00-XC_1,2026/4/19 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0001,サンプル銀行,000,20260618,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0018
bank,PRE_AB10000019CF-乙ウエXD26-10019-00-XD_1,2026/4/20 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0002,サンプル銀行,000,20260619,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0019
bank,PRE_AB10000020GA-丙オカXE26-10020-00-XE_1,2026/4/21 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0003,サンプル銀行,000,20260620,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0020
bank,PRE_PRE_AB10000021MA-甲アイXF26-10021-00-XF_1,2026/4/22 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0004,サンプル銀行,000,20260621,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0021
bank,PRE_AB10000022KA-乙ウエXG26-10022-00-XG_1,2026/4/23 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0005,サンプル銀行,000,20260622,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0022
bank,PRE_AB10000023CD-丙オカXH26-10023-00-XH_1,2026/4/24 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0006,サンプル銀行,000,20260623,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0023
bank,PRE_AB10000024FA-甲アイXA26-10024-00-XA_1,2026/4/25 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0007,サンプル銀行,000,20260624,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0024
bank,PRE_AB10000025CA-乙ウエXB26-10025-00-XB_1,2026/4/26 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0008,サンプル銀行,000,20260625,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0025
bank,PRE_AB10000026EA-丙オカXC26-10026-00-XC_1,2026/4/27 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0009,サンプル銀行,000,20260626,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0026
bank,PRE_AB10000027CF-甲アイXD26-10027-00-XD_1,2026/4/28 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0001,サンプル銀行,000,20260627,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0027
bank,PRE_PRE_AB10000028GA-乙ウエXE26-10028-00-XE_1,2026/4/29 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0002,サンプル銀行,000,20260628,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0028
bank,PRE_AB10000029MA-丙オカXF26-10029-00-XF_1,2026/4/30 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0003,サンプル銀行,000,20260629,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0029
bank,PRE_AB10000030KA-甲アイXG26-10030-00-XG_1,2026/5/1 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0004,サンプル銀行,000,20260630,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0030
bank,PRE_AB10000031CD-乙ウエXH26-10031-00-XH_1,2026/5/2 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0005,サンプル銀行,000,20260701,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0031
bank,PRE_AB10000032FA-丙オカXA26-10032-00-XA_1,2026/5/3 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0006,サンプル銀行,000,20260702,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0032
bank,PRE_AB10000033CA-甲アイXB26-10033-00-XB_1,2026/5/4 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0007,サンプル銀行,000,20260703,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0033
bank,PRE_AB10000034EA-乙ウエXC26-10034-00-XC_1,2026/5/5 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0008,サンプル銀行,000,20260704,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0034
bank,PRE_PRE_AB10000035CF-丙オカXD26-10035-00-XD_1,2026/5/6 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0009,サンプル銀行,000,20260705,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0035
bank,PRE_AB10000036GA-甲アイXE26-10036-00-XE_1,2026/5/7 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0001,サンプル銀行,000,20260706,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0036
bank,PRE_AB10000037MA-乙ウエXF26-10037-00-XF_1,2026/5/8 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0002,サンプル銀行,000,20260707,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0037
bank,PRE_AB10000038KA-丙オカXG26-10038-00-XG_1,2026/5/9 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0003,サンプル銀行,000,20260708,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0038
bank,PRE_AB10000039CD-甲アイXH26-10039-00-XH_1,2026/5/10 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0004,サンプル銀行,000,20260709,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0039
bank,PRE_AB10000040FA-乙ウエXA26-10040-00-XA_1,2026/5/11 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0005,サンプル銀行,000,20260710,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0040
bank,PRE_AB10000041CA-丙オカXB26-10041-00-XB_1,2026/5/12 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0006,サンプル銀行,000,20260711,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0041
bank,PRE_PRE_AB10000042EA-甲アイXC26-10042-00-XC_1,2026/5/13 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0007,サンプル銀行,000,20260712,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0042
bank,PRE_AB10000043CF-乙ウエXD26-10043-00-XD_1,2026/5/14 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0008,サンプル銀行,000,20260713,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0043
bank,PRE_AB10000044GA-丙オカXE26-10044-00-XE_1,2026/5/15 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0009,サンプル銀行,000,20260714,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0044
bank,PRE_AB10000045MA-甲アイXF26-10045-00-XF_1,2026/5/16 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0001,サンプル銀行,000,20260715,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0045
bank,PRE_AB10000046KA-乙ウエXG26-10046-00-XG_1,2026/5/17 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0002,サンプル銀行,000,20260716,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0046
bank,PRE_AB10000047CD-丙オカXH26-10047-00-XH_1,2026/5/18 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0003,サンプル銀行,000,20260717,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0047
bank,PRE_AB10000048FA-甲アイXA26-10048-00-XA_1,2026/5/19 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0004,サンプル銀行,000,20260718,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0048
bank,PRE_PRE_AB10000049CA-乙ウエXB26-10049-00-XB_1,2026/5/20 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0005,サンプル銀行,000,20260719,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0049
bank,PRE_AB10000050EA-丙オカXC26-10050-00-XC_1,2026/5/21 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0006,サンプル銀行,000,20260720,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0050
bank,PRE_AB10000051CF-甲アイXD26-10051-00-XD_1,2026/5/22 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0007,サンプル銀行,000,20260721,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0051
bank,PRE_AB10000052GA-乙ウエXE26-10052-00-XE_1,2026/5/23 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0008,サンプル銀行,000,20260722,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0052
bank,PRE_AB10000053MA-丙オカXF26-10053-00-XF_1,2026/5/24 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0009,サンプル銀行,000,20260723,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0053
bank,PRE_AB10000054KA-甲アイXG26-10054-00-XG_1,2026/5/25 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0001,サンプル銀行,000,20260724,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0054
bank,PRE_AB10000055CD-乙ウエXH26-10055-00-XH_1,2026/5/26 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0002,サンプル銀行,000,20260725,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0055
bank,PRE_PRE_AB10000056FA-丙オカXA26-10056-00-XA_1,2026/5/27 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0003,サンプル銀行,000,20260726,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0056
bank,PRE_AB10000057CA-甲アイXB26-10057-00-XB_1,2026/5/28 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0004,サンプル銀行,000,20260727,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0057
bank,PRE_AB10000058EA-乙ウエXC26-10058-00-XC_1,2026/5/29 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0005,サンプル銀行,000,20260728,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0058
bank,PRE_AB10000059CF-丙オカXD26-10059-00-XD_1,2026/5/30 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0006,サンプル銀行,000,20260729,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0059
bank,PRE_AB10000060GA-甲アイXE26-10060-00-XE_1,2026/5/31 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0007,サンプル銀行,000,20260730,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0060
bank,PRE_AB10000061MA-乙ウエXF26-10061-00-XF_1,2026/6/1 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0008,サンプル銀行,000,20260731,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0061
bank,PRE_AB10000062KA-丙オカXG26-10062-00-XG_1,2026/6/2 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0009,サンプル銀行,000,20260801,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0062
bank,PRE_PRE_AB10000063CD-甲アイXH26-10063-00-XH_1,2026/6/3 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0001,サンプル銀行,000,20260802,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0063
bank,PRE_AB10000064FA-乙ウエXA26-10064-00-XA_1,2026/6/4 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0002,サンプル銀行,000,20260803,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0064
bank,PRE_AB10000065CA-丙オカXB26-10065-00-XB_1,2026/6/5 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0003,サンプル銀行,000,20260804,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0065
bank,PRE_AB10000066EA-甲アイXC26-10066-00-XC_1,2026/6/6 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0004,サンプル銀行,000,20260805,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0066
bank,PRE_AB10000067CF-乙ウエXD26-10067-00-XD_1,2026/6/7 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0005,サンプル銀行,000,20260806,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0067
bank,PRE_AB10000068GA-丙オカXE26-10068-00-XE_1,2026/6/8 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0006,サンプル銀行,000,20260807,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0068
bank,PRE_AB10000069MA-甲アイXF26-10069-00-XF_1,2026/6/9 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0007,サンプル銀行,000,20260808,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0069
bank,PRE_PRE_AB10000070KA-乙ウエXG26-10070-00-XG_1,2026/6/10 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0008,サンプル銀行,000,20260809,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0070
bank,PRE_AB10000071CD-丙オカXH26-10071-00-XH_1,2026/6/11 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0009,サンプル銀行,000,20260810,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0071
bank,PRE_AB10000072FA-甲アイXA26-10072-00-XA_1,2026/6/12 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0001,サンプル銀行,000,20260811,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0072
bank,PRE_AB10000073CA-乙ウエXB26-10073-00-XB_1,2026/6/13 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0002,サンプル銀行,000,20260812,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0073
bank,PRE_AB10000074EA-丙オカXC26-10074-00-XC_1,2026/6/14 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0003,サンプル銀行,000,20260813,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0074
bank,PRE_AB10000075CF-甲アイXD26-10075-00-XD_1,2026/6/15 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0004,サンプル銀行,000,20260814,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0075
bank,PRE_AB10000076GA-乙ウエXE26-10076-00-XE_1,2026/6/16 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0005,サンプル銀行,000,20260815,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0076
bank,PRE_PRE_AB10000077MA-丙オカXF26-10077-00-XF_1,2026/6/17 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0006,サンプル銀行,000,20260816,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0077
bank,PRE_AB10000078KA-甲アイXG26-10078-00-XG_1,2026/6/18 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0007,サンプル銀行,000,20260817,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0078
bank,PRE_AB10000079CD-乙ウエXH26-10079-00-XH_1,2026/6/19 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0008,サンプル銀行,000,20260818,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0079
bank,PRE_AB10000080FA-丙オカXA26-10080-00-XA_1,2026/6/20 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0009,サンプル銀行,000,20260819,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0080
bank,PRE_AB10000081CA-甲アイXB26-10081-00-XB_1,2026/6/21 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0001,サンプル銀行,000,20260820,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0081
bank,PRE_AB10000082EA-乙ウエXC26-10082-00-XC_1,2026/6/22 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0002,サンプル銀行,000,20260821,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0082
bank,PRE_AB10000083CF-丙オカXD26-10083-00-XD_1,2026/6/23 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0003,サンプル銀行,000,20260822,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0083
bank,PRE_PRE_AB10000084GA-甲アイXE26-10084-00-XE_1,2026/6/24 21:44,TEST01,サンプル決済会社,支払済,50000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0004,サンプル銀行,000,20260823,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0084
bank,PRE_AB10000085MA-乙ウエXF26-10085-00-XF_1,2026/6/25 21:44,TEST01,サンプル決済会社,支払済,10000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0005,サンプル銀行,000,20260824,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0085
bank,PRE_AB10000086KA-丙オカXG26-10086-00-XG_1,2026/6/26 21:44,TEST01,サンプル決済会社,支払済,20000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0006,サンプル銀行,000,20260825,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0086
bank,PRE_AB10000087CD-甲アイXH26-10087-00-XH_1,2026/6/27 21:44,TEST01,サンプル決済会社,支払済,30000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0007,サンプル銀行,000,20260826,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0087
bank,PRE_AB10000088FA-乙ウエXA26-10088-00-XA_1,2026/6/28 21:44,TEST01,サンプル決済会社,支払済,40000,success,0000,テスト,,,,,,00000000,00000000000000000000,000000,申込者姓,0008,サンプル銀行,000,20260827,架空品目,カクウヒンモク,2.02604E+11,0,,TESTBILL0088
