送信日時,オーダーID,金種別取引番号1,金種別取引番号2,決済ステータス,決済金額,決済期限,備考1,備考2,氏名,請求方法,受付番号,支払い方法,決済画面入力メールアドレス,支払メール送付先メールアドレス
2026/4/20 17:45,PRE_AB10000019CF-乙ウエXD26-10019-00-XD_1,-,-,未決済,50000,20260619,品目B,乙ウエXD26-10019/19811204/経路2//拠点5/区分B/利用者19,user10019-利用者19,メール,乙ウエXD26-10019,-,-,sample19@example.test
2026/4/21 17:45,PRE_AB10000020GA-丙オカXE26-10020-00-XE_1,-,-,未決済,10000,20260620,品目C,丙オカXE26-10020/19820110/経路1//拠点1/区分C/利用者20,user10020-利用者20,メール,丙オカXE26-10020,-,-,sample20@example.test
2026/4/22 17:45,PRE_AB10000021MA-甲アイXF26-10021-00-XF_1,-,-,未決済,20000,20260621,品目D,甲アイXF26-10021/19820216/経路2//拠点2/区分A/利用者21,user10021-利用者21,メール,甲アイXF26-10021,-,-,sample21@example.test
2026/4/23 17:45,PRE_AB10000022KA-乙ウエXG26-10022-00-XG_1,-,-,未決済,30000,20260622,品目E,乙ウエXG26-10022/19820325/経路1//拠点3/区分B/利用者22,user10022-利用者22,メール,乙ウエXG26-10022,-,-,sample22@example.test
2026/4/24 17:45,PRE_AB10000023CD-丙オカXH26-10023-00-XH_1,-,-,未決済,40000,20260623,品目F,丙オカXH26-10023/19820501/経路2//拠点4/区分C/利用者23,user10023-利用者23,メール,丙オカXH26-10023,-,-,sample23@example.test
2026/4/25 17:45,PRE_AB10000024FA-甲アイXA26-10024-00-XA_1,-,-,未決済,50000,20260624,品目A,甲アイXA26-10024/19820607/経路1//拠点5/区分A/利用者24,user10024-利用者24,メール,甲アイXA26-10024,-,-,sample24@example.test
2026/4/26 17:45,PRE_AB10000025CA-乙ウエXB26-10025-00-XB_1,-,-,未決済,10000,20260625,品目B,乙ウエXB26-10025/19820714/経路2//拠点1/区分B/利用者25,user10025-利用者25,メール,乙ウエXB26-10025,-,-,sample25@example.test
2026/4/27 17:45,PRE_AB10000026EA-丙オカXC26-10026-00-XC_1,-,-,未決済,20000,20260626,品目C,丙オカXC26-10026/19820820/経路1//拠点2/区分C/利用者26,user10026-利用者26,メール,丙オカXC26-10026,-,-,sample26@example.test
2026/4/28 17:45,PRE_AB10000027CF-甲アイXD26-10027-00-XD_1,-,-,未決済,30000,20260627,品目D,甲アイXD26-10027/19820926/経路2//拠点3/区分A/利用者27,user10027-利用者27,メール,甲アイXD26-10027,-,-,sample27@example.test
2026/4/29 17:45,PRE_AB10000028GA-乙ウエXE26-10028-00-XE_1,-,-,未決済,40000,20260628,品目E,乙ウエXE26-10028/19821102/経路1//拠点4/区分B/利用者28,user10028-利用者28,メール,乙ウエXE26-10028,-,-,sample28@example.test
2026/4/30 17:45,PRE_AB10000029MA-丙オカXF26-10029-00-XF_1,-,-,未決済,50000,20260629,品目F,丙オカXF26-10029/19821209/経路2//拠点5/区分C/利用者29,user10029-利用者29,メール,丙オカXF26-10029,-,-,sample29@example.test
2026/5/1 17:45,PRE_AB10000030KA-甲アイXG26-10030-00-XG_1,-,-,未決済,10000,20260630,品目A,甲アイXG26-10030/19830115/経路1//拠点1/区分A/利用者30,user10030-利用者30,メール,甲アイXG26-10030,-,-,sample30@example.test
2026/5/2 17:45,PRE_AB10000031CD-乙ウエXH26-10031-00-XH_1,-,-,未決済,20000,20260701,品目B,乙ウエXH26-10031/19830221/経路2//拠点2/区分B/利用者31,user10031-利用者31,メール,乙ウエXH26-10031,-,-,sample31@example.test
2026/5/3 17:45,PRE_AB10000032FA-丙オカXA26-10032-00-XA_1,-,-,未決済,30000,20260702,品目C,丙オカXA26-10032/19830330/経路1//拠点3/区分C/利用者32,user10032-利用者32,メール,丙オカXA26-10032,-,-,sample32@example.test
2026/5/4 17:45,PRE_AB10000033CA-甲アイXB26-10033-00-XB_1,-,-,未決済,40000,20260703,品目D,甲アイXB26-10033/19830506/経路2//拠点4/区分A/利用者33,user10033-利用者33,メール,甲アイXB26-10033,-,-,sample33@example.test
2026/5/5 17:45,PRE_AB10000034EA-乙ウエXC26-10034-00-XC_1,-,-,未決済,50000,20260704,品目E,乙ウエXC26-10034/19830612/経路1//拠点5/区分B/利用者34,user10034-利用者34,メール,乙ウエXC26-10034,-,-,sample34@example.test
2026/5/6 17:45,PRE_AB10000035CF-丙オカXD26-10035-00-XD_1,-,-,未決済,10000,20260705,品目F,丙オカXD26-10035/19830719/経路2//拠点1/区分C/利用者35,user10035-利用者35,メール,丙オカXD26-10035,-,-,sample35@example.test
2026/5/7 17:45,PRE_AB10000036GA-甲アイXE26-10036-00-XE_1,-,-,未決済,20000,20260706,品目A,甲アイXE26-10036/19830825/経路1//拠点2/区分A/利用者36,user10036-利用者36,メール,甲アイXE26-10036,-,-,sample36@example.test
2026/5/8 17:45,PRE_AB10000037MA-乙ウエXF26-10037-00-XF_1,-,-,未決済,30000,20260707,品目B,乙ウエXF26-10037/19831001/経路2//拠点3/区分B/利用者37,user10037-利用者37,メール,乙ウエXF26-10037,-,-,sample37@example.test
2026/5/9 17:45,PRE_AB10000038KA-丙オカXG26-10038-00-XG_1,-,-,未決済,40000,20260708,品目C,丙オカXG26-10038/19831107/経路1//拠点4/区分C/利用者38,user10038-利用者38,メール,丙オカXG26-10038,-,-,sample38@example.test
2026/5/10 17:45,PRE_AB10000039CD-甲アイXH26-10039-00-XH_1,-,-,未決済,50000,20260709,品目D,甲アイXH26-10039/19831214/経路2//拠点5/区分A/利用者39,user10039-利用者39,メール,甲アイXH26-10039,-,-,sample39@example.test
2026/5/11 17:45,PRE_AB10000040FA-乙ウエXA26-10040-00-XA_1,-,-,未決済,10000,20260710,品目E,乙ウエXA26-10040/19840120/経路1//拠点1/区分B/利用者40,user10040-利用者40,メール,乙ウエXA26-10040,-,-,sample40@example.test
2026/5/12 17:45,PRE_AB10000041CA-丙オカXB26-10041-00-XB_1,-,-,未決済,20000,20260711,品目F,丙オカXB26-10041/19840226/経路2//拠点2/区分C/利用者41,user10041-利用者41,メール,丙オカXB26-10041,-,-,sample41@example.test
2026/5/13 17:45,PRE_AB10000042EA-甲アイXC26-10042-00-XC_1,-,-,未決済,30000,20260712,品目A,甲アイXC26-10042/19840403/経路1//拠点3/区分A/利用者42,user10042-利用者42,メール,甲アイXC26-10042,-,-,sample42@example.test
2026/5/14 17:45,PRE_AB10000043CF-乙ウエXD26-10043-00-XD_1,-,-,未決済,40000,20260713,品目B,乙ウエXD26-10043/19840510/経路2//拠点4/区分B/利用者43,user10043-利用者43,メール,乙ウエXD26-10043,-,-,sample43@example.test
2026/5/15 17:45,PRE_AB10000044GA-丙オカXE26-10044-00-XE_1,-,-,未決済,50000,20260714,品目C,丙オカXE26-10044/19840616/経路1//拠点5/区分C/利用者44,user10044-利用者44,メール,丙オカXE26-10044,-,-,sample44@example.test
2026/5/16 17:45,PRE_AB10000045MA-甲アイXF26-10045-00-XF_1,-,-,未決済,10000,20260715,品目D,甲アイXF26-10045/19840723/経路2//拠点1/区分A/利用者45,user10045-利用者45,メール,甲アイXF26-10045,-,-,sample45@example.test
2026/5/17 17:45,PRE_AB10000046KA-乙ウエXG26-10046-00-XG_1,-,-,未決済,20000,20260716,品目E,乙ウエXG26-10046/19840829/経路1//拠点2/区分B/利用者46,user10046-利用者46,メール,乙ウエXG26-10046,-,-,sample46@example.test
2026/5/18 17:45,PRE_AB10000047CD-丙オカXH26-10047-00-XH_1,-,-,未決済,30000,20260717,品目F,丙オカXH26-10047/19841005/経路2//拠点3/区分C/利用者47,user10047-利用者47,メール,丙オカXH26-10047,-,-,sample47@example.test
2026/5/19 17:45,PRE_AB10000048FA-甲アイXA26-10048-00-XA_1,-,-,未決済,40000,20260718,品目A,甲アイXA26-10048/19841111/経路1//拠点4/区分A/利用者48,user10048-利用者48,メール,甲アイXA26-10048,-,-,sample48@example.test
2026/5/20 17:45,PRE_AB10000049CA-乙ウエXB26-10049-00-XB_1,-,-,未決済,50000,20260719,品目B,乙ウエXB26-10049/19841218/経路2//拠点5/区分B/利用者49,user10049-利用者49,メール,乙ウエXB26-10049,-,-,sample49@example.test
2026/5/21 17:45,PRE_AB10000050EA-丙オカXC26-10050-00-XC_1,-,-,未決済,10000,20260720,品目C,丙オカXC26-10050/19850124/経路1//拠点1/区分C/利用者50,user10050-利用者50,メール,丙オカXC26-10050,-,-,sample50@example.test
2026/5/22 17:45,PRE_AB10000051CF-甲アイXD26-10051-00-XD_1,-,-,未決済,20000,20260721,品目D,甲アイXD26-10051/19850302/経路2//拠点2/区分A/利用者51,user10051-利用者51,メール,甲アイXD26-10051,-,-,sample51@example.test
2026/5/23 17:45,PRE_AB10000052GA-乙ウエXE26-10052-00-XE_1,-,-,未決済,30000,20260722,品目E,乙ウエXE26-10052/19850408/経路1//拠点3/区分B/利用者52,user10052-利用者52,メール,乙ウエXE26-10052,-,-,sample52@example.test
2026/5/24 17:45,PRE_AB10000053MA-丙オカXF26-10053-00-XF_1,-,-,未決済,40000,20260723,品目F,丙オカXF26-10053/19850515/経路2//拠点4/区分C/利用者53,user10053-利用者53,メール,丙オカXF26-10053,-,-,sample53@example.test
2026/5/25 17:45,PRE_AB10000054KA-甲アイXG26-10054-00-XG_1,-,-,未決済,50000,20260724,品目A,甲アイXG26-10054/19850621/経路1//拠点5/区分A/利用者54,user10054-利用者54,メール,甲アイXG26-10054,-,-,sample54@example.test
2026/5/26 17:45,PRE_AB10000055CD-乙ウエXH26-10055-00-XH_1,-,-,未決済,10000,20260725,品目B,乙ウエXH26-10055/19850728/経路2//拠点1/区分B/利用者55,user10055-利用者55,メール,乙ウエXH26-10055,-,-,sample55@example.test
2026/5/27 17:45,PRE_AB10000056FA-丙オカXA26-10056-00-XA_1,-,-,未決済,20000,20260726,品目C,丙オカXA26-10056/19850903/経路1//拠点2/区分C/利用者56,user10056-利用者56,メール,丙オカXA26-10056,-,-,sample56@example.test
2026/5/28 17:45,PRE_AB10000057CA-甲アイXB26-10057-00-XB_1,-,-,未決済,30000,20260727,品目D,甲アイXB26-10057/19851010/経路2//拠点3/区分A/利用者57,user10057-利用者57,メール,甲アイXB26-10057,-,-,sample57@example.test
2026/5/29 17:45,PRE_AB10000058EA-乙ウエXC26-10058-00-XC_1,-,-,未決済,40000,20260728,品目E,乙ウエXC26-10058/19851116/経路1//拠点4/区分B/利用者58,user10058-利用者58,メール,乙ウエXC26-10058,-,-,sample58@example.test
2026/5/30 17:45,PRE_AB10000059CF-丙オカXD26-10059-00-XD_1,-,-,未決済,50000,20260729,品目F,丙オカXD26-10059/19851223/経路2//拠点5/区分C/利用者59,user10059-利用者59,メール,丙オカXD26-10059,-,-,sample59@example.test
2026/5/31 17:45,PRE_AB10000060GA-甲アイXE26-10060-00-XE_1,-,-,未決済,10000,20260730,品目A,甲アイXE26-10060/19860129/経路1//拠点1/区分A/利用者60,user10060-利用者60,メール,甲アイXE26-10060,-,-,sample60@example.test
2026/6/1 17:45,PRE_AB10000061MA-乙ウエXF26-10061-00-XF_1,-,-,未決済,20000,20260731,品目B,乙ウエXF26-10061/19860307/経路2//拠点2/区分B/利用者61,user10061-利用者61,メール,乙ウエXF26-10061,-,-,sample61@example.test
2026/6/2 17:45,PRE_AB10000062KA-丙オカXG26-10062-00-XG_1,-,-,未決済,30000,20260801,品目C,丙オカXG26-10062/19860413/経路1//拠点3/区分C/利用者62,user10062-利用者62,メール,丙オカXG26-10062,-,-,sample62@example.test
2026/6/3 17:45,PRE_AB10000063CD-甲アイXH26-10063-00-XH_1,-,-,未決済,40000,20260802,品目D,甲アイXH26-10063/19860520/経路2//拠点4/区分A/利用者63,user10063-利用者63,メール,甲アイXH26-10063,-,-,sample63@example.test
2026/6/4 17:45,PRE_AB10000064FA-乙ウエXA26-10064-00-XA_1,-,-,未決済,50000,20260803,品目E,乙ウエXA26-10064/19860626/経路1//拠点5/区分B/利用者64,user10064-利用者64,メール,乙ウエXA26-10064,-,-,sample64@example.test
2026/6/5 17:45,PRE_AB10000065CA-丙オカXB26-10065-00-XB_1,-,-,未決済,10000,20260804,品目F,丙オカXB26-10065/19860802/経路2//拠点1/区分C/利用者65,user10065-利用者65,メール,丙オカXB26-10065,-,-,sample65@example.test
2026/6/6 17:45,PRE_AB10000066EA-甲アイXC26-10066-00-XC_1,-,-,未決済,20000,20260805,品目A,甲アイXC26-10066/19860908/経路1//拠点2/区分A/利用者66,user10066-利用者66,メール,甲アイXC26-10066,-,-,sample66@example.test
2026/6/7 17:45,PRE_AB10000067CF-乙ウエXD26-10067-00-XD_1,-,-,未決済,30000,20260806,品目B,乙ウエXD26-10067/19861015/経路2//拠点3/区分B/利用者67,user10067-利用者67,メール,乙ウエXD26-10067,-,-,sample67@example.test
2026/6/8 17:45,PRE_AB10000068GA-丙オカXE26-10068-00-XE_1,-,-,未決済,40000,20260807,品目C,丙オカXE26-10068/19861121/経路1//拠点4/区分C/利用者68,user10068-利用者68,メール,丙オカXE26-10068,-,-,sample68@example.test
2026/6/9 17:45,PRE_AB10000069MA-甲アイXF26-10069-00-XF_1,-,-,未決済,50000,20260808,品目D,甲アイXF26-10069/19861228/経路2//拠点5/区分A/利用者69,user10069-利用者69,メール,甲アイXF26-10069,-,-,sample69@example.test
2026/6/10 17:45,PRE_AB10000070KA-乙ウエXG26-10070-00-XG_1,-,-,未決済,10000,20260809,品目E,乙ウエXG26-10070/19870203/経路1//拠点1/区分B/利用者70,user10070-利用者70,メール,乙ウエXG26-10070,-,-,sample70@example.test
2026/6/11 17:45,PRE_AB10000071CD-丙オカXH26-10071-00-XH_1,-,-,未決済,20000,20260810,品目F,丙オカXH26-10071/19870312/経路2//拠点2/区分C/利用者71,user10071-利用者71,メール,丙オカXH26-10071,-,-,sample71@example.test
2026/6/12 17:45,PRE_AB10000072FA-甲アイXA26-10072-00-XA_1,-,-,未決済,30000,20260811,品目A,甲アイXA26-10072/19870418/経路1//拠点3/区分A/利用者72,user10072-利用者72,メール,甲アイXA26-10072,-,-,sample72@example.test
2026/6/13 17:45,PRE_AB10000073CA-乙ウエXB26-10073-00-XB_1,-,-,未決済,40000,20260812,品目B,乙ウエXB26-10073/19870525/経路2//拠点4/区分B/利用者73,user10073-利用者73,メール,乙ウエXB26-10073,-,-,sample73@example.test
2026/6/14 17:45,PRE_AB10000074EA-丙オカXC26-10074-00-XC_1,-,-,未決済,50000,20260813,品目C,丙オカXC26-10074/19870701/経路1//拠点5/区分C/利用者74,user10074-利用者74,メール,丙オカXC26-10074,-,-,sample74@example.test
2026/6/15 17:45,PRE_AB10000075CF-甲アイXD26-10075-00-XD_1,-,-,未決済,10000,20260814,品目D,甲アイXD26-10075/19870807/経路2//拠点1/区分A/利用者75,user10075-利用者75,メール,甲アイXD26-10075,-,-,sample75@example.test
2026/6/16 17:45,PRE_AB10000076GA-乙ウエXE26-10076-00-XE_1,-,-,未決済,20000,20260815,品目E,乙ウエXE26-10076/19870913/経路1//拠点2/区分B/利用者76,user10076-利用者76,メール,乙ウエXE26-10076,-,-,sample76@example.test
2026/6/17 17:45,PRE_AB10000077MA-丙オカXF26-10077-00-XF_1,-,-,未決済,30000,20260816,品目F,丙オカXF26-10077/19871020/経路2//拠点3/区分C/利用者77,user10077-利用者77,メール,丙オカXF26-10077,-,-,sample77@example.test
2026/6/18 17:45,PRE_AB10000078KA-甲アイXG26-10078-00-XG_1,-,-,未決済,40000,20260817,品目A,甲アイXG26-10078/19871126/経路1//拠点4/区分A/利用者78,user10078-利用者78,メール,甲アイXG26-10078,-,-,sample78@example.test
2026/6/19 17:45,PRE_AB10000079CD-乙ウエXH26-10079-00-XH_1,-,-,未決済,50000,20260818,品目B,乙ウエXH26-10079/19880102/経路2//拠点5/区分B/利用者79,user10079-利用者79,メール,乙ウエXH26-10079,-,-,sample79@example.test
2026/6/20 17:45,PRE_AB10000080FA-丙オカXA26-10080-00-XA_1,-,-,未決済,10000,20260819,品目C,丙オカXA26-10080/19880208/経路1//拠点1/区分C/利用者80,user10080-利用者80,メール,丙オカXA26-10080,-,-,sample80@example.test
2026/6/21 17:45,PRE_AB10000081CA-甲アイXB26-10081-00-XB_1,-,-,未決済,20000,20260820,品目D,甲アイXB26-10081/19880316/経路2//拠点2/区分A/利用者81,user10081-利用者81,メール,甲アイXB26-10081,-,-,sample81@example.test
2026/6/22 17:45,PRE_AB10000082EA-乙ウエXC26-10082-00-XC_1,-,-,未決済,30000,20260821,品目E,乙ウエXC26-10082/19880422/経路1//拠点3/区分B/利用者82,user10082-利用者82,メール,乙ウエXC26-10082,-,-,sample82@example.test
2026/6/23 17:45,PRE_AB10000083CF-丙オカXD26-10083-00-XD_1,-,-,未決済,40000,20260822,品目F,丙オカXD26-10083/19880529/経路2//拠点4/区分C/利用者83,user10083-利用者83,メール,丙オカXD26-10083,-,-,sample83@example.test
2026/6/24 17:45,PRE_AB10000084GA-甲アイXE26-10084-00-XE_1,-,-,未決済,50000,20260823,品目A,甲アイXE26-10084/19880705/経路1//拠点5/区分A/利用者84,user10084-利用者84,メール,甲アイXE26-10084,-,-,sample84@example.test
2026/6/25 17:45,PRE_AB10000085MA-乙ウエXF26-10085-00-XF_1,-,-,未決済,10000,20260824,品目B,乙ウエXF26-10085/19880811/経路2//拠点1/区分B/利用者85,user10085-利用者85,メール,乙ウエXF26-10085,-,-,sample85@example.test
2026/6/26 17:45,PRE_AB10000086KA-丙オカXG26-10086-00-XG_1,-,-,未決済,20000,20260825,品目C,丙オカXG26-10086/19880917/経路1//拠点2/区分C/利用者86,user10086-利用者86,メール,丙オカXG26-10086,-,-,sample86@example.test
2026/6/27 17:45,PRE_AB10000087CD-甲アイXH26-10087-00-XH_1,-,-,未決済,30000,20260826,品目D,甲アイXH26-10087/19881024/経路2//拠点3/区分A/利用者87,user10087-利用者87,メール,甲アイXH26-10087,-,-,sample87@example.test
2026/6/28 17:45,PRE_AB10000088FA-乙ウエXA26-10088-00-XA_1,-,-,未決済,40000,20260827,品目E,乙ウエXA26-10088/19881130/経路1//拠点4/区分B/利用者88,user10088-利用者88,メール,乙ウエXA26-10088,-,-,sample88@example.test
2026/6/29 17:45,PRE_AB10000089CA-丙オカXB26-10089-00-XB_1,-,-,未決済,50000,20260828,品目F,丙オカXB26-10089/19890106/経路2//拠点5/区分C/利用者89,user10089-利用者89,メール,丙オカXB26-10089,-,-,sample89@example.test
2026/4/1 17:45,PRE_AB10000090EA-甲アイXC26-10090-00-XC_1,-,-,未決済,10000,20260531,品目A,甲アイXC26-10090/19890212/経路1//拠点1/区分A/利用者90,user10090-利用者90,メール,甲アイXC26-10090,-,-,sample90@example.test
2026/4/2 17:45,PRE_AB10000091CF-乙ウエXD26-10091-00-XD_1,-,-,未決済,20000,20260601,品目B,乙ウエXD26-10091/19890321/経路2//拠点2/区分B/利用者91,user10091-利用者91,メール,乙ウエXD26-10091,-,-,sample91@example.test
2026/4/3 17:45,PRE_AB10000092GA-丙オカXE26-10092-00-XE_1,-,-,未決済,30000,20260602,品目C,丙オカXE26-10092/19890427/経路1//拠点3/区分C/利用者92,user10092-利用者92,メール,丙オカXE26-10092,-,-,sample92@example.test
2026/4/4 17:45,PRE_AB10000093MA-甲アイXF26-10093-00-XF_1,-,-,未決済,40000,20260603,品目D,甲アイXF26-10093/19890603/経路2//拠点4/区分A/利用者93,user10093-利用者93,メール,甲アイXF26-10093,-,-,sample93@example.test
2026/4/5 17:45,PRE_AB10000094KA-乙ウエXG26-10094-00-XG_1,-,-,未決済,50000,20260604,品目E,乙ウエXG26-10094/19890710/経路1//拠点5/区分B/利用者94,user10094-利用者94,メール,乙ウエXG26-10094,-,-,sample94@example.test
2026/4/6 17:45,PRE_AB10000095CD-丙オカXH26-10095-00-XH_1,-,-,未決済,10000,20260605,品目F,丙オカXH26-10095/19890816/経路2//拠点1/区分C/利用者95,user10095-利用者95,メール,丙オカXH26-10095,-,-,sample95@example.test
2026/4/7 17:45,PRE_AB10000096FA-甲アイXA26-10096-00-XA_1,-,-,未決済,20000,20260606,品目A,甲アイXA26-10096/19890922/経路1//拠点2/区分A/利用者96,user10096-利用者96,メール,甲アイXA26-10096,-,-,sample96@example.test
2026/4/8 17:45,PRE_AB10000097CA-乙ウエXB26-10097-00-XB_1,-,-,未決済,30000,20260607,品目B,乙ウエXB26-10097/19891029/経路2//拠点3/区分B/利用者97,user10097-利用者97,メール,乙ウエXB26-10097,-,-,sample97@example.test
2026/4/9 17:45,PRE_AB10000098EA-丙オカXC26-10098-00-XC_1,-,-,未決済,40000,20260608,品目C,丙オカXC26-10098/19891205/経路1//拠点4/区分C/利用者98,user10098-利用者98,メール,丙オカXC26-10098,-,-,sample98@example.test
2026/4/10 17:45,PRE_AB10000099CF-甲アイXD26-10099-00-XD_1,-,-,未決済,50000,20260609,品目D,甲アイXD26-10099/19900111/経路2//拠点5/区分A/利用者99,user10099-利用者99,メール,甲アイXD26-10099,-,-,sample99@example.test
2026/4/11 17:45,PRE_AB10000100GA-乙ウエXE26-10100-00-XE_1,-,-,未決済,10000,20260610,品目E,乙ウエXE26-10100/19900217/経路1//拠点1/区分B/利用者100,user10100-利用者100,メール,乙ウエXE26-10100,-,-,sample100@example.test
